Question,Answer
What globally recognized carbon neutrality standard did CPC receive in 2021 for its efforts in reducing carbon emissions?,"CPC received the PAS 2060 third-party validation report, a globally recognized carbon neutrality standard, in 2021."
How many gas-fired generating units does CPC plan to set up at Datan Power Station?,CPC plans to set up three gas-fired generating units at Datan Power Station.
What is the significance of constructing a 238-kilometer undersea pipeline from the Yongan LNG Terminal to Tongxiao in CPC's gas supply plans?,The undersea pipeline will contribute to completing the figure-of-eight natural gas transmission network and enhancing gas supply stability and safety.
How does CPC plan to ensure the stability of natural gas supply for Taiwan by diversifying LNG import sources?,"CPC acquires LNG imports from all over the world, including regions like the Middle East, Asia-Pacific, Europe, and others, to ensure a stable supply of natural gas."
What are the main products produced and sold by CPC's Solvent and Chemical Business Division?,"The main products include Petroleum Ether, Cleaning Naphtha, High flash Aromatic Naphtha, Toluene (Industrial Grade), Xylene (Nitration Grade), Crude Octene, Methyl Alcohol, Normal Paraffin, Viscosity-Graded Asphalt Cement, and Sulfur."
How is Normal Paraffin used in various industries?,"Normal Paraffin is used in manufacturing biodegradable linear alkyl benzene, as a raw material in surfactant detergents, in the production of chlorinated paraffin, in green lamp-oil, and low-toxicity washing solvents."
What are the applications of Viscosity-Graded Asphalt Cement (AR)?,"Viscosity-Graded Asphalt Cement (AR) is used for road and parking lot applications, cutback asphalt, emulsifying asphalt, modifying asphalt, and waterproof winding materials for modifying asphalt."
How is Toluene (Industrial Grade) utilized in different industries?,"Toluene (Industrial Grade) is used as a solvent for various resins, paints, enamel, varnish, adhesives, and as a thinner and dilutant in different applications."
What are some of the uses of Xylene (Nitration Grade)?,"Xylene (Nitration Grade) is used as a solvent for various resins, shellac, paints, varnish, adhesives, printing inks, insecticides, and as a feedstock for petrochemicals."
How is Crude Octene employed in manufacturing processes?,"Crude Octene is used as a raw material in the manufacturing of DINP plasticizers, as stated in the provided details."
In what way is Methyl Alcohol utilized in manufacturing diverse materials?,"Methyl Alcohol is used in the production of formaldehyde, formic acid, inorganic and organic acid esters, refrigerants, cleaners, perfumes, and photo film as mentioned in the text."
Could you provide some applications of High flash Aromatic Naphtha - 100 and 150?,"High flash Aromatic Naphtha - 100 and 150 are utilized as solvents in the formulation of paints, varnishes, coatings, insecticides, wood preservatives, artificial resins, and textile dyes."
What are the primary uses of Cleaning Naphtha as highlighted?,"Cleaning Naphtha is employed to remove oil, grease, paint, clean machine components, degrease leather, and as a thinner for adhesives, printing inks, and paints according to the text."
How is Petroleum Ether utilized in different applications?,"Petroleum Ether is used as a blowing agent for cellular plastics, extraction agent for lac wax, medicines, and essential oils, and as a fast-evaporating solvent for adhesives, based on the details mentioned."
What are the main products under CPC's Petrochemical Business Division's ethylene derivatives?,"The main products are low density polyethylene (LLDPE), high density polyethylene (HDPE), vinyl chloride (VCM), vinyl acetate (VAM), ethylene glycol (EG), styrene (SM), and acetaldehyde."
Can you name some main derivatives of propylene?,"Some main derivatives of propylene are acrylonitrile (AN), acrylic acid ester (Acrylates), epoxy resin (for adhesives), isopropanol (IPA), and polypropylene glycol."
Which products are derived from butadiene?,"The main derivatives of butadiene are polybutadiene rubber (BR), ABS, and SBR."
What are the primary derivatives of benzene produced in CPC's alkyl aromatics plant?,The primary derivatives of benzene are styrene (SM) and isopropylbenzene (cumene).
What is the main derivative of para-xylene and what is its common usage?,"The main derivative of para-xylene is polyethylene terephthalate (PET), which is used in the manufacture of plastic bottles and similar packaging products."
What is the primary derivative of ortho-xylene and what is its main application?,"The main derivative of ortho-xylene is phthalate anhydride (PA), which is a raw material used in plasticizers."
How does the alkyl aromatics plant transform benzene into its main derivatives?,The alkyl aromatics plant transforms benzene into styrene (SM) and isopropylbenzene (cumene) as its main derivatives.
What is the main application of polyethylene terephthalate (PET) ?,PET is primarily used in the manufacture of plastic bottles and similar packaging products.
Which chemicals are included in the ethylene derivatives listed by CPC's Petrochemical Business Division?,"Ethylene derivatives include low density polyethylene (LLDPE), high density polyethylene (HDPE), vinyl chloride (VCM), vinyl acetate (VAM), ethylene glycol (EG), styrene (SM), and acetaldehyde."
What are some of the main derivatives of propylene?,"Some main derivatives of propylene are acrylonitrile (AN), acrylic acid ester (Acrylates), epoxy resin (for adhesives), isopropanol (IPA), and polypropylene glycol."
Where can one find information about the Solvents and Chemicals offered by the Refining Business Division?,Information about the Solvents and Chemicals offered by the Refining Business Division can be found under SNC Products.
Where can one find information about the LPG offered by the Refining Business Division?,Information about the LPG offered by the Refining Business Division can be found under LPG Products.
Where can one find information about the Petrochemicals offered by the Refining Business Division?,Information about the Petrochemical offered by the Refining Business Division can be found under Petrochemical Products.
Where can one find information about the Petroleum fuel products offered by the Refining Business Division?,Information about the Petroleum fuel products offered by the Refining Business Division can be found under Fuel Oil.
"What are the intermediate products produced by the Refining Business Division that are mainly used in the production of detergent, plasticizer, and similar materials?",The intermediate products produced by the Refining Business Division are high-purity linear paraffins and hydro-treated kerosene.
What are the main products produced and sold directly by the Refining Business Division?,"The main products produced and sold directly by the Refining Business Division are Medium N-Paraffins Feedstock, typically high-purity linear paraffins, and hydro-treated kerosene."
What is the contact telephone number for the Taipei office of the Refining Business Division?,The contact telephone number for the Taipei office of the Refining Business Division is 886-2-87898989.
What are the registration procedures for a company intending to become one of CPC's qualified spot crude oil suppliers?,"The registration procedures include officially expressing intention in writing to CPC, providing company information, financial reports, credit rating information, sales record, bank references, trade references, and statement of supply sources."
How does CPC determine the prequalification of spot crude oil suppliers?,"CPC evaluates the prequalification of spot crude oil suppliers based on the information provided, including financial status, credit standing, sales experience, and supply sources."
What are the requirements for the actual crude oil sales experience of an Applicant applying to be a spot crude oil supplier for CPC?,"The Applicant should have proof of selling at least 1,000,000 barrels of the same or similar grade of crude oil or condensate in the international oil market within the five years prior to the application."
What criteria must be met regarding the financial status and credit standing of an Applicant for spot crude oil supplier registration with CPC?,"The Applicant must have a healthy financial status, good credit standing, and meet criteria such as having a short term credit rating of Moody?™s P-1 or above, Standard & Poor?™s A1+ or above, or providing a letter of certificate from a reputable bank."
Why are Applicants acting as brokers or intermediaries disqualified in CPC's registration procedure for spot crude oil suppliers?,Applicants acting as brokers or intermediaries are disqualified to ensure that oil transactions are direct between the seller and CPC without any commission or rebate payment to intermediaries or employees of either party.
How does CPC verify the supply sources of crude oil and/or condensate provided by Applicants for prequalification?,CPC requires a statement of supply sources from the Applicant to assure that the crude oil or condensate comes from legitimate market sources and is regularly traded in the international oil market.
What types of documents are needed to prove the actual crude oil sales experience of an Applicant?,"Documents such as relevant bills of lading, loading/discharging survey reports, or discharge certificates showing the sale of crude oil and/or condensate in the international oil market are required."
Can a local Taiwanese company provide alternative financial statements for spot crude oil supplier registration with CPC?,"Yes, local Taiwanese companies can provide official financial statements endorsed by their accountant or government auditing organization to meet the financial status criteria specified by CPC."
Why does CPC require the net asset value of Applicants to be at least one-twelfth of the estimated budget amount of CPC's regular spot crude oil/condensate tender?,The requirement ensures that Applicants have sufficient financial capacity to participate in CPC's regular spot crude oil/condensate tenders and fulfill their supply obligations.
What type of credit rating is required for short term credit standing by Applicants applying to be spot crude oil suppliers for CPC?,Applicants should have a short term credit rating of Moody?™s P-1 or above or Standard & Poor?™s A1+ or above to meet the credit standing criteria set by CPC.
How does the Government of Taiwan R.O.C. determine which countries trading activities are prohibited with?,The Government of Taiwan R.O.C. periodically announces and revises the list of countries with which trading activities are prohibited.
What is the impact on an applicant if they are a company registered in a country with prohibited trading activities with Taiwan R.O.C.?,The applicant would not be eligible for consideration if they are registered in a country with prohibited trading activities with Taiwan R.O.C.
Can a company registered in Taiwan R.O.C. conduct trading activities with any country?,"No, the company cannot conduct trading activities with countries that are on the list of prohibited trading activities."
How often does the Government of Taiwan R.O.C. update the list of prohibited trading countries?,The Government of Taiwan R.O.C. revises and updates the list from time to time.
Why is it important for an applicant to comply with the trading restrictions set by the Government of Taiwan R.O.C.?,Compliance with the trading restrictions is crucial for maintaining legal and ethical business practices.
What measures should companies take to ensure they are not violating the trading restrictions of Taiwan R.O.C.?,Companies should regularly check the updated list of prohibited countries and adjust their trading activities accordingly.
How does the Government of Taiwan R.O.C. communicate changes in the list of prohibited trading countries to the public?,The Government of Taiwan R.O.C. usually announces changes through official channels and public notifications.
Is it possible for a company to request an exemption from the trading restrictions with certain countries?,Companies can inquire about exemptions or special considerations directly with the relevant authorities in Taiwan R.O.C.
What consequences could a company face if found violating the trading restrictions with prohibited countries?,"Violating the trading restrictions could lead to legal penalties, fines, or restrictions on future trading activities."
How can companies ensure they remain compliant with the trading regulations of Taiwan R.O.C.?,"Companies should maintain regular communication with relevant authorities, stay informed about updates, and implement robust compliance strategies to adhere to the regulations."
What information does a foreign company need to provide to CPC for pre-qualification in order to participate in petroleum product export tenders or to buy petroleum products?,"A foreign company needs to provide information such as company history, location, capital, corporate structure, principal officers, annual financial report highlights, description of business activities, trading experience and history, credit line certificate, and trade references."
"What trading experience and history requirements are specified for companies intending to purchase naphtha, gasoline, gasoil, aviation fuel oil, fuel oil, or refrigerated LPG from CPC?","Companies intending to purchase specified petroleum products must have at least one year's experience in international petroleum product trading and a minimum trading quantity of 40,000 kiloliters in the last year."
What is the minimum credit line requirement for foreign banks according to CPC's guidelines?,"The minimum credit line requirement for foreign banks, as per CPC's guidelines, is at least USD30.0 million, which can be increased based on the present market level."
What are the requirements for the minimum credit line when issued by local banks in Taiwan?,"The minimum credit line requirement when issued by local banks in Taiwan is at least USD30.0 million, subject to potential increases by CPC based on the current market level."
How does CPC adjust the required minimum credit line for certain petroleum products and loading quantities?,"CPC adjusts the minimum credit line requirement to USD3.5 million for petroleum products like MTBE, Methanol, and pressurized LPG when the loading quantity of each vessel is under 10,000MT, based on the Rule of Proportionality."
What information must be included in the trade references provided by a foreign company to CPC?,"The trade references provided by a foreign company must include the name, address, telephone and fax numbers of at least one and not more than two internationally-known companies recommended for trade credibility reference, along with contact persons' names and titles."
How does CPC handle situations where a company fails to meet the minimum credit line requirement for purchasing petroleum products?,CPC may consider adjusting the required minimum credit line based on the company's circumstances or the current market level to accommodate the company's participation in purchasing petroleum products.
What is the significance of the credit line certificate in the registration procedure for buyers of CPC's petroleum products?,"The credit line certificate serves as a financial assurance for CPC, ensuring that the buying company has the necessary funds to engage in transactions involving petroleum products with CPC."
How does a foreign company express its intention to participate in CPC's petroleum product export tender or to buy petroleum products?,"A foreign company can express its intention by fax, email, or letter to CPC, indicating the specific petroleum products it intends to buy and providing the required information for pre-qualification."
What are the key components of a company introduction that a foreign company must provide to CPC for registration?,"A foreign company must provide information such as company history, location, capital, corporate structure, principal officers, annual financial report highlights, and description of its business activities as part of the company introduction for registration with CPC."
What information is required for a foreign company to express its intention to participate in CPC's petroleum product import tender?,"The foreign company is required to provide COMPANY INTRODUCTION, ACTUAL PETROLEUM PRODUCT TRADING ACTIVITIES, BANK REFERENCE, TRADE REFERENCE, and SOURCE OF PRODUCT SUPPLY."
What are the criteria for a qualified seller to sell petroleum products to CPC?,"A qualified seller should have good credit standing as verified by letters from international first class banks and at least one year of experience in international product trading for mogas, gasoil, jet A-1, fuel oil, LPG, and naphtha."
Why is it necessary for sellers to provide information about their company history and financial highlights?,Providing company history and financial highlights helps CPC assess the credibility and stability of the sellers before engaging in petroleum product transactions.
How can a foreign company demonstrate its trade credibility to CPC?,A foreign company can demonstrate its trade credibility by providing trade references from internationally known companies with contact persons recommended to CPC.
What role do banks play in the pre-qualification process for sellers of CPC's petroleum products?,Banks play a crucial role in verifying the credit standing and records of the sellers through letters of recommendation for pre-qualification purposes.
What are the specific petroleum products that sellers should have at least one year of experience trading internationally?,"Sellers should have at least one year of experience in international product trading for mogas, gasoil, jet A-1, fuel oil, LPG, and naphtha to qualify to sell to CPC."
How important is the source of product supply information for sellers aiming to participate in CPC's petroleum product import tender?,The source of product supply information is crucial as it helps CPC ensure the reliability and consistency of the petroleum products offered by the sellers.
Why is it necessary for sellers to have trade references from internationally known companies?,Having trade references from internationally known companies enhances the credibility and trustworthiness of the sellers in the eyes of CPC during the pre-qualification process.
How does CPC verify the trading experience/history of potential sellers?,"CPC verifies the trading experience/history of potential sellers through the information provided by the sellers, including annual amount/item/counterparty details for assessment."
"Why are sellers required to express their intention to sell petroleum products to CPC through official channels like FAX, email, or letter?",Sellers are required to use official channels to express their intention to sell to CPC to ensure a formal and documented communication process that can be used for future reference and verification.
What information does a foreign company need to provide to CPC for pre-qualification purposes in order to sell petroleum products?,"The foreign company needs to provide information such as company history, capital, corporation structure, annual financial highlights, business description, trading experience/history, bank references, trade references, and source of product supply."
What are the requirements for a qualified seller to meet before participating in CPC's petroleum product import tender?,"A qualified seller needs to have good credit standing verified by letters from nominated international first class banks. Additionally, sellers for specific products like mogas, gasoil, jet A-1, fuel oil, LPG, and naphtha need at least one year experience in international product trading."
How can a foreign company express its intention to sell petroleum products to CPC?,"A foreign company can express its intention by FAX, Email, or letter to CPC indicating the products it intends to sell and providing the necessary pre-qualification information."
Why is it important for a seller to have trade references when pre-qualifying to sell petroleum products to CPC?,Trade references are important for verifying the seller's trade credibility and can be used by CPC for reference purposes to ensure the reliability of the seller.
How does CPC verify the credit standing of a potential seller before allowing them to participate in petroleum product trading?,CPC verifies the credit standing of potential sellers by requesting letters from the applicant's nominated international first-class banks within the 300 largest banks' name list ranked by Strength Tier One Capital.
What type of financial information should a foreign company provide to CPC as part of the pre-qualification process?,"The foreign company should provide annual financial highlights, company history, capital, corporation structure, and business description to CPC for pre-qualification purposes."
"Why is it necessary for sellers of specific petroleum products like mogas, gasoil, and jet A-1 to have at least one year of international product trading experience?",Having at least one year of international product trading experience demonstrates that the seller has the necessary knowledge and expertise to engage in the trading of specific petroleum products.
How can a seller meet the condition of having good credit standing as required by CPC for pre-qualification?,A seller can meet the condition of having good credit standing by providing letters from their nominated international first-class banks to verify their creditworthiness.
What role do bank references play in the pre-qualification process for sellers of petroleum products to CPC?,Bank references are used by CPC to verify the financial stability and credit standing of potential sellers as part of the pre-qualification process.
Why is it essential for sellers of petroleum products to provide information about their source of product supply to CPC?,Providing information about the source of product supply helps CPC ensure the reliability and consistency of the seller's products and their ability to meet CPC's import tender requirements.
What is CPC's Vision?,"A safe, clean and internationally-competitive integrated energy enterprise."
What is CPC's Mission?,"To provide our customers with supreme quality, reliable energy supplies and services as a key contribution to Taiwan¡¦s economic prosperity."
What is CPC's Core Values?,"Integrity, Innovation, Talent Development, Safety and Security, Caring for the Environment and Social Responsibility. "
What key interactive experiences can visitors have at the CPC Petroleum Discovery Museum?,"Visitors at the CPC Petroleum Discovery Museum can experience the presence of petroleum deep in the stratum for millions of years, learn about oil exploration, refining, transportation, and applications. They can witness the transformation of petroleum from germination to an oil energy giant and experience thousands of possible applications in scenarios like gas stations, families, and laboratories."
"What philosophy does CPC Corporation, Taiwan advocate in its social welfare initiatives?","CPC Corporation, Taiwan advocates a philosophy that aims to ""take from the community, giving back to society"" in its social welfare initiatives by maintaining active interaction with local organizations and residents, implementing environmental and ecological protection, promoting pollution prevention, and contributing to charity efforts to create sustainable values."
What geothermal energy projects has CPC Corporation undertaken in Taiwan?,"CPC Corporation has completed the production test of Tuchang No.14 and No.15 geothermal wells in Yilan and evaluated their potential for 1.2MW geothermal power generation. They plan to complete Tuchang No.16, 17, and 18 geothermal wells and operate a Tuchang 5MW geothermal power plant."
What strategies has CPC Corporation implemented to improve its performance in new energy development?,"CPC Corporation has implemented strategies of active expansion and focus on exploration and production, along with mergers and acquisitions, talent training, and increasing overseas production to enhance its performance in new energy development."
When did CPC's upstream business begin and what does it entail?,"CPC's upstream business began in 1959 and comprises exploration and production in both onshore and offshore oil and gas fields, both in Taiwan and overseas."
How is CPC Corporation planning to increase the ratio of self-owned energy reserves?,"CPC Corporation plans to expand overseas operations, exploit domestic operations, undertake mergers and acquisitions, and invest in exploration and production while training talent for new breakthroughs."
How is CPC Corporation contributing to the development of green energy in Taiwan?,"CPC Corporation is actively participating in the development of green energy by completing geothermal well production tests, evaluating geothermal power generation potential, and planning to operate geothermal power plants to generate electricity for the grid."
How does CPC plan to become a valuable international oil and gas exploration and production business entity in the future?,"CPC plans to become a valuable international oil and gas exploration and production business entity in the future by actively enhancing the value of producing assets, focusing on M&A activities in exploration, acquiring assets with appreciable upside potential, diversifying into green energy industries, and aiming to become one of the world's valuable international oil and gas exploration and production business entities."
How has the energy policy in Taiwan influenced CPC Corporation's strategic planning?,"The energy policy in Taiwan has led CPC Corporation to adopt exploration and production strategies focused on expanding overseas operations, exploiting domestic operations, and increasing self-owned energy reserves to stabilize the supply of crude oil and natural gas."
What is the main goal of CPC Corporation in regards to energy development and production?,The main goal of CPC Corporation is to stabilize the supply of crude oil and natural gas to the domestic market and alleviate the impacts brought by oil price fluctuations.
What percentage of crude oil imports to CPC Corporation in 2021 came from the Middle East?,52.63% of crude oil imports to CPC Corporation in 2021 came from the Middle East.
How does CPC Corporation ensure stability in its crude oil procurement?,CPC Corporation ensures stability in its crude oil procurement by maximizing procurement on long-term contracts and diversifying its sources of crude.
How does CPC Corporation reduce operating processing risks through its additives and coatings?,CPC Corporation's additives and specialty coatings are designed to reduce operating processing risks and enhance operational safety.
How does CPC Corporation demonstrate its commitment to sustainable development?,CPC Corporation actively pursues the development of new green products and businesses in line with the international community's push for carbon reduction.
What was the daily refining capacity of the Dalin Refinery after expansion?,"After expansion, the Dalin Refinery had a daily capacity of up to 400,000 barrels of crude."
What units did CPC Corporation construct to reduce pollutant emissions according to EPA regulations?,"CPC Corporation constructed a 30,000 barrels per day pyrolysis gasoline and hydro-desulfurization unit at the Taoy"
How did CPC Corporation respond to Taiwan's increasingly stringent environmental standards?,"CPC Corporation responded by building additional refining facilities such as reforming units, isomerization units, and gasoline/diesel desulfurization plants."
What were the sources of CPC Corporation's crude oil imports in 2021?,"In 2021, CPC Corporation imported crude oil from the Middle East (52.63%), USA (38.96%), and Africa (7.98%)."
How has CPC Corporation adapted its products to meet occupational safety and environmental regulations?,CPC Corporation has developed additives and specialty coatings to meet both operational needs and regulatory requirements.
What is the significance of winning the National Brand Yushan Award for Best Product for CPC Corporation?,Winning the award highlights the excellence of CPC Corporation's intake-system cleaners and fluorinated paint.
"How did CPC Corporation, Taiwan improve its refining configuration at the Dalin Refinery to meet various standards and regulations?","CPC Corporation, Taiwan improved its refining configuration at the Dalin Refinery by planning to construct a vacuum distillation unit (VDU) and a solvent deasphalting (SDA) unit, along with other facilities like polymer-modified asphalt and asphalt cutback production facilities."
"What measures did CPC Corporation, Taiwan take to reduce benzene levels in gasoline to comply with regulations?","CPC Corporation, Taiwan first invested in creating an ultra-low sulfur fuel oil and asphalt cutback production center. They also plan to reduce benzene levels in gasoline to less than 0.8 vol. % in the future."
"How did CPC Corporation, Taiwan increase its refining capacity at the Dalin Refinery over the years?","CPC Corporation, Taiwan increased its refining capacity at the Dalin Refinery from 300,000 barrels per day to 400,000 barrels per day by completing various expansion projects, boosting the overall daily crude oil refining capacity to 600,000 barrels per day."
What significant production facilities were completed at the Dalin Refinery in 2018?,"In 2018, at the Dalin Refinery, the atmospheric crude oil distillation unit (CDU), condensate fractionating unit (CFU), diesel hydro-desulfurization unit (DHDS), and kerosene hydro-desulfurization unit (KHDS) were completed and began mass production."
"How did CPC Corporation, Taiwan enhance the value of its products and improve gasoline quality?","CPC Corporation, Taiwan achieved this by completing the testing and volume production of the alkylation plant with a capacity of 14,000 barrels per day, which increased the value of their product and improved gasoline quality."
"What investment did CPC Corporation, Taiwan make to reduce the emission of pollutants in their production process?","CPC Corporation, Taiwan invested in the construction of a sulfur plant with a daily output of 250 tons to cope with the problem of acidic gas generated in the production process and to reduce the emission of pollutants."
"How did CPC Corporation, Taiwan handle the consequences of the Kaohsiung Refinery closure?","CPC Corporation, Taiwan expanded the Dalin plant's capacity by including various units like an atmospheric crude oil distillation unit, condensate fractionating unit, diesel hydro-desulfurization unit, and kerosene hydro-desulfurization unit to eliminate worries of raw material shortages."
What construction projects are planned at the Dalin Refinery to strengthen CPC's competitiveness?,"CPC plans to construct a vacuum distillation unit, solvent deasphalting unit, Polymer-Modified Asphalt facilities, asphalt storage facilities, and an asphalt blending system at the Dalin Refinery to strengthen its competitiveness."
"How did CPC Corporation, Taiwan increase its heavy oil conversion rate?","CPC began increasing its heavy oil conversion rate by constructing an RFCC unit with a capacity of 80,000 barrels per day at the Dalin Refinery, which was completed in 2013."
"How did CPC Corporation, Taiwan address the stricter benzene level regulations for automobile gasoline?",CPC plans to reduce benzene levels in petroleum to less than 0.8 vol. % by investing in projects like creating an ultra-low sulfur fuel oil production center and producing gasoline with reduced benzene content and high-quality products.
How does setting up a carbon capture demonstration unit in Dalin Refinery align with CPC's environmental sustainability goals?,"By setting up a carbon capture unit, CPC will reduce carbon emissions, make real progress in environmental protection, and comply with regulatory requirements."
What are the major petrochemical production facilities of CPC and where are they located?,"CPC's major petrochemical production facilities are the Linyuan Petrochemical Plant, and the Taoyuan and Dalin refineries located in Taiwan."
What are the annual production capacities of CPC for basic petrochemical raw materials?,"CPC's annual production capacities include 1.07 million metric tons of ethylene, 1.194 million tons of propylene, 158 KTA of butadiene, 274 KTA of benzene, 321 KTA of toluene, and 507 KTA of mixed xylene."
How has CPC contributed to the economic development of Taiwan's petrochemical industry?,"By investing in various upstream petrochemical businesses, CPC has helped drive the development of the domestic petrochemical industry, contributing to Taiwan's economic growth."
"What was the total investment and production capacity of the ""New No. 3 Naphtha Cracker"" project at the Linyuan Petrochemical Complex?","The total investment was over NT$40 billion, and it had an ethylene capacity of 720 KTA, propylene capacity of 370 KTA, and butadiene capacity of 100 KTA."
How has CPC responded to the growth of the global electric vehicles market and the government's energy transition policy?,"CPC has integrated its refining and petrochemical businesses, reduced gasoline and diesel production, increased chemical production, decreased plant pollution, and strengthened safety measures."
What technology is CPC considering for establishing a low-carbon operation field?,"CPC is evaluating the implementation of carbon capture, utilization, and storage technology (CCUS) to achieve low-carbon operations."
"How does CPC comply with the government's ""Circular Economy"" Policy?",CPC turns petrochemical by-products into value-added products to comply with the Circular Economy Policy.
What is one example of CPC turning petrochemical by-products into value-added products?,CPC utilizes heavy oil from naphtha cracker for soft-carbon material production to supply the lithium battery industry.
How does CPC contribute to wind turbine blade production through petrochemical processes?,CPC purifies Dicyclopentadiene (DCPD) from pyrolysis gasoline for wind turbine blade production.
How does CPC Petroleum Products aim to create benefits for both economic development and environmental protection?,"CPC Petroleum Products aims to create benefits for both economic development and environmental protection by adhering to the principles of sustainable operations, which help in surmounting the challenge of industrial transformation."
In what ways is CPC Corporation aligning itself with the international push for carbon reduction?,CPC Corporation is pursuing sustainable development and aligning with the international community's push for carbon reduction.
Which product accounted for the largest share of CPC's sales in Taiwan in 2021?,Automotive gasoline accounted for the largest share of CPC's sales in Taiwan in 2021 at approximately 53.6%.
How does CPC protect its market share in Taiwan's refined petroleum products market?,CPC protects its market share in Taiwan by consolidating its gas station network and leveraging the advantage of its marketing network.
What types of transportation and storage facilities does CPC operate in Taiwan?,CPC operates aviation fueling stations at all of Taiwan's airports and marine bunkering stations for international vessels around the coast.
How has CPC Corporation refined its services to improve product quality?,"CPC Corporation has integrated sales channels and focused on developing new green products, leading to improved product quality."
What role do CPC Corporation's specialty chemicals and solvent products play in its operational needs?,CPC Corporation's specialty chemicals and solvent products play a crucial role in meeting maintenance and operational needs in its refineries.
How does CPC differentiate itself from competitors in terms of gas station operation?,CPC differentiates itself by offering consumers superior-quality services across the board and implementing total customer experience management.
How does CPC lower its operating costs in gas station operation?,CPC lowers its operating costs by offering card-based self-service refueling and promoting a multi-service business model featuring a diversity of offerings.
"When was CPC's own payment tool, CPC Pay, released?","CPC's own payment tool, CPC Pay, was released on November 12, 2019."
How does CPC Pay differentiate itself from other mobile payment apps?,"CPC Pay combines diverse functions such as payment, membership services, special offers, and vehicle-related services, providing users a comprehensive experience."
What are the third-party payment services that customers can use at CPC gas stations for e-payment transactions?,"Customers at CPC gas stations can use Line Pay, Line Pay Money, Pi Mobile Wallet, JKOPay, O?™Pay, GAMA PAY for e-payment transactions."
How has CPC improved the payment process for customers at gas stations?,"CPC has introduced wireless barcode readers that allow customers to make payments without leaving their cars, enhancing convenience."
What major credit cards can customers add to CPC Pay for transactions?,"Customers can add VISA, MasterCard, and JCB credit cards to their CPC Pay accounts for transactions."
How has CPC expanded its services beyond traditional petrol-filling?,"CPC stations now offer services such as car-washing, quick maintenance, CUP&GO coffee, on-site convenience stores, and even charging stations for electric vehicles."
In what ways has CPC embraced green energy policies?,"CPC has actively developed charging and swapping stations for electric vehicles in response to green energy policies, with plans to build more stations in the future."
What are some of the products offered by CPC's diversification business?,"CPC offers products such as Kuo-Kuang scooters, intake valve cleaners, eco-friendly laundry detergent, dishwashing detergent, and Mid-Autumn Festival moon cake gift boxes."
How has CPC enhanced its customer service over the years?,"CPC set up customer hotlines in 2000, introduced the 1912 service hotline in 2011, added English-language service in 2020, and Taiwanese-language service in 2021 to improve communication with the public."
"How many gas stations under CPC have received ""green building"" certification as of December 2021?","As of December 2021, 67 gas stations under CPC have received ""green building"" certification."
What is CPC's stance on promoting natural gas as the fuel of the future?,"CPC promotes natural gas as the fuel of the future due to its high thermal efficiency, low pollution profile, and overall sustainability in alignment with Taiwan's energy diversification policy."
How did the completion of the third-phase expansion project in December 2002 impact CPC's annual LNG handling capacity?,The completion of the third-phase expansion project in December 2002 expanded CPC's annual LNG handling capacity to 7.44 million tons.
What was the primary purpose behind constructing the LNG receiving terminal close to Taichung?™s Port West Pier 13?,"The primary purpose of constructing the LNG receiving terminal close to Taichung?™s Port West Pier 13 was to supply natural gas to the Taiwan Power Company (Taipower), industrial firms, and household users in central and northern Taiwan."
How will the Taichung LNG Terminal Phase II Investment Project boost the annual LNG handling capacity of the terminal?,"The Taichung LNG Terminal Phase II Investment Project will boost the annual LNG handling capacity of the terminal to over six million tons by constructing three additional 160,000 kiloliter above-ground storage tanks and additional gasification facilities."
What percentage of Taiwan's total electricity is mandated to come from natural gas by 2025 according to government policies?,Taiwan's government policies mandate that 50% of Taiwan's total electricity is to come from natural gas by 2025.
How will the Phase III expansion module at the Taichung LNG Terminal improve unloading energy and gas supply stability upon completion?,"The Phase III expansion module at the Taichung LNG Terminal will add two 180,000 kiloliter above-ground storage tanks and their associated gasification plant, which are expected to improve unloading energy and gas supply stability upon completion."
"What project is CPC continuing in order to comply with the revised ""Capacity of Self-provided Storage Tanks for Natural Gas Production or Import Enterprises""?","CPC is continuing with the Taichung Receiving Terminal New Pier & Terminal Expansion exterior Taichung Harbor Investment Project, which will add four above-ground full-capacity 180,000 kiloliter LNG storage tanks, gasification facilities, and two LNG-unloading wharves."
How is CPC planning to improve the overall equipment utilization rate and gas supply stability by the end of 2028?,"CPC plans to improve the overall equipment utilization rate and gas supply stability by the end of 2028 through the completion of the land reclamation of the North Reclamation Area (III) and the South Reclamation Area (IV)-2, connecting Nanti Rd.-crossing pipelines to the existing plant area."
What are the major components of CPC's natural gas transmission and distribution system on Taiwan's western side?,"The natural gas transmission and distribution system on Taiwan's western side comprise approximately 2,221 kilometers of terrestrial trunk pipeline, eight supply centers, one transfer center, and 50 distribution stations along its length."
What goal is CPC currently focused on in terms of constructing interlocking ring-shaped networks in Taiwan?,"CPC's current goal is centered on constructing interlocking ring-shaped networks to produce a figure-of-eight configuration, which involves laying down a 238-kilometer undersea pipeline from the Yongan LNG Terminal."
What is the purpose of linking the undersea gas pipeline from the Taichung LNG plant to the Datan power station with terrestrial pipelines in central and northern Taiwan?,"The purpose is to form another circular formation, thus completing the planned island-wide integrated natural gas transmission network."
How did CPC Corporation win the National Brand Yushan Award for Best Product in 2019 and 2020?,CPC Corporation's intake-system cleaners and fluorinated paint won the National Brand Yushan Award for Best Product in 2019 and 2020.
